units,name_plt,lat,lon,value,date,year,month,my_date,mean,size
MMBtu,Elrama Power Plant,40.251829,-79.918022,31645,2014-03-01,2014,3,2014.1666666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,31645,2014-02-01,2014,2,2014.0833333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,31645,2014-01-01,2014,1,2014,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,31645,2013-10-01,2013,10,2013.75,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,31645,2013-09-01,2013,9,2013.6666666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,31645,2013-08-01,2013,8,2013.5833333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,31645,2013-07-01,2013,7,2013.5,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,31645,2013-06-01,2013,6,2013.4166666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,31645,2013-05-01,2013,5,2013.3333333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,31645,2013-04-01,2013,4,2013.25,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,31645,2013-03-01,2013,3,2013.1666666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,31645,2013-02-01,2013,2,2013.0833333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,31645,2013-01-01,2013,1,2013,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,31645,2012-12-01,2012,12,2012.9166666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,31645,2012-11-01,2012,11,2012.8333333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,31645,2012-10-01,2012,10,2012.75,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,31645,2012-09-01,2012,9,2012.6666666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,5163,2012-08-01,2012,8,2012.5833333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,282135,2012-07-01,2012,7,2012.5,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,144700,2012-06-01,2012,6,2012.4166666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,353406,2012-05-01,2012,5,2012.3333333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,177602,2012-04-01,2012,4,2012.25,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,177602,2012-03-01,2012,3,2012.1666666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,160995,2012-02-01,2012,2,2012.0833333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,32417,2012-01-01,2012,1,2012,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,32417,2011-12-01,2011,12,2011.9166666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,219322,2011-11-01,2011,11,2011.8333333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,46583,2011-10-01,2011,10,2011.75,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,31901,2011-09-01,2011,9,2011.6666666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,349544,2011-08-01,2011,8,2011.5833333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,553928,2011-07-01,2011,7,2011.5,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,343528,2011-06-01,2011,6,2011.4166666666667,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,99703,2011-05-01,2011,5,2011.3333333333333,1241705.47044586,md
MMBtu,Elrama Power Plant,40.251829,-79.918022,34916,2011-04-01,2011,4,2011.25,1241705.47044586,md
